Artist;Anger;Article;Death;Family;Friends;Home;I;Money;Negate;Negemo;Optim;Other;Othref;Posemo;Posfeel;Preps;Pronoun;Relig;Sad;School;Self;Sexual;Swear;We;You
Nielson;0.0029034436191762323;0.05300472653612424;0.00020256583389601619;0.0011478730587440918;0.0008777852802160702;0.004253882511816341;0.07515192437542201;0.0006752194463200541;0.010938555030384874;0.012761647535449021;0.0031060094530722484;0.01262660364618501;0.06076975016880486;0.01991897366644159;0.006482106684672519;0.08082376772451047;0.14841323430114786;0.00040513166779203237;0.004253882511816341;0.00040513166779203237;0.07954085077650236;0.0017555705604321405;0.0008102633355840649;0.0033085752869682645;0.039365293720459146
Hakkûhbar;0.013750592697961118;0.028923660502607876;0.0;0.009957325746799429;0.0;0.002844950213371266;0.05547652916073969;0.002370791844476055;0.006164058795637743;0.017543859649122806;0.0;0.006638217164532954;0.026552868658131817;0.01469890943575154;0.0;0.09151256519677572;0.09009009009009007;0.0;0.001422475106685633;0.0018966334755808442;0.0564248458985301;0.0;0.0018966334755808442;0.0009483167377904221;0.013750592697961118
Raymtzer;0.011570247933884295;0.04132231404958678;0.0;0.003305785123966942;0.003305785123966942;0.001652892561983471;0.0743801652892562;0.001652892561983471;0.003305785123966942;0.021487603305785124;0.003305785123966942;0.019834710743801654;0.06942148760330577;0.014876033057851241;0.001652892561983471;0.07603305785123966;0.17355371900826447;0.001652892561983471;0.006611570247933884;0.003305785123966942;0.08429752066115702;0.0;0.004958677685950414;0.009917355371900829;0.03636363636363636
DJMadman;0.0;0.02247191011235955;0.003210272873194221;0.0;0.0;0.0016051364365971107;0.08667736757624397;0.0;0.0016051364365971107;0.03531300160513644;0.014446227929373997;0.009630818619582664;0.12038523274478333;0.05136436597110754;0.02568218298555377;0.04654895666131621;0.21348314606741567;0.0;0.0016051364365971107;0.0;0.08667736757624397;0.0016051364365971107;0.0;0.0;0.11075441412520064
FreekdeJonge;0.005207328833172613;0.07463837994214079;0.01022179363548698;0.013500482160077144;0.0013500482160077145;0.0013500482160077145;0.05130183220829315;0.002700096432015429;0.01022179363548698;0.026229508196721308;0.004243008678881389;0.010607521697203472;0.0476374156219865;0.020057859209257477;0.007135969141755062;0.0879459980713597;0.10684667309546768;0.004050144648023143;0.007135969141755062;0.0005785920925747347;0.058437801350048224;0.0015429122468659595;0.0011571841851494694;0.006557377049180328;0.024108003857280614
RonnieFlex;0.004160363086232979;0.037734202257651575;0.00046549517048760614;0.002327475852438031;0.0016001396485511466;0.0017456068893285232;0.08393459792854649;0.002705690678459211;0.009164436168974749;0.012888397532875595;0.0021529151635051786;0.011491912021412778;0.06269638077504948;0.009135342720819272;0.0018037937856394738;0.06735133247992553;0.15701733969510065;0.0018910741301059;0.004305830327010357;0.0011346444780635401;0.08600023274758524;0.0011346444780635401;0.002182008611660654;0.0018619806819504246;0.0469277318747818
MarianneWeber;0.0022837184309511017;0.04406233207952714;0.0;0.0022837184309511017;0.001477700161203654;0.0018807092960773774;0.07240730789897905;0.003492745835572273;0.013164965072541644;0.026732939279957013;0.0024180548092423426;0.008597528210639442;0.06851155292853305;0.0400322407307899;0.02256851155292853;0.07684040838259;0.15341214400859754;0.006985491671144546;0.017598065556152606;0.0004030091348737238;0.07898979043524987;0.007925846319183236;0.0;0.005642127888232133;0.04795808704997313
K3;0.0020654462983962416;0.045804309087963714;0.00016199578810950914;0.002105945245423619;0.0012554673578486961;0.0010529726227118095;0.05560505426858902;0.0006074842054106592;0.00716831362384578;0.01133970516766564;0.0018224526162319782;0.005548355742750689;0.06269236999838004;0.025919326097521463;0.010408229386035963;0.08168637615421999;0.13259355256763325;0.0010934715697391868;0.004211890490847238;0.0008909768346023004;0.06321885630973595;0.003725903126518711;0.0;0.006641827312489875;0.042807387007937785
Josylvio;0.002224592412006705;0.03763522779216821;0.0009142160597287826;0.007100411397226878;0.0017370105134846866;0.0007923205850982782;0.07076032302300778;0.003900655188176139;0.010757275636142007;0.011336279140636904;0.0010665854030169131;0.007892731982325157;0.0393722383056529;0.007466097821118391;0.0023769617552948353;0.08709431662349536;0.11601401797958252;0.0004875818985220174;0.004083498400121895;0.001797958250799939;0.07176596068870943;0.0007618467164406523;0.0011275331403321652;0.0010056376657016607;0.029712021941185437
OmeHenk;0.00387382401770891;0.054233536247924735;0.0;0.0005534034311012729;0.0011068068622025458;0.002213613724405091;0.07692307692307693;0.004427227448810182;0.011068068622025456;0.018262313226342003;0.0016602102933038186;0.006087437742114001;0.022689540675152185;0.006640841173215274;0.0005534034311012729;0.09518539014941893;0.10846707249584947;0.0005534034311012729;0.0016602102933038186;0.0;0.07802988378527947;0.0005534034311012729;0.0;0.0011068068622025458;0.008854454897620366
